date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:03	18242/18242	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4742%22	https://blondon.github.io/publication/london-nips-14-ws/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-nips-14-ws/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:04	18602/18602	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-48aa%22	https://blondon.github.io/publication/london-sptli-13/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-sptli-13/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:04	18055/18055	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4687%22	https://blondon.github.io/publication/london-book-13/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-book-13/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:47	18610/18610	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-48b2%22	https://blondon.github.io/publication/london-icml-13/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-icml-13/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:47	18161/18161	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-46f1%22	https://blondon.github.io/publication/huang-slg-13/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/huang-slg-13/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:47	17976/17976	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4638%22	https://blondon.github.io/publication/london-arxiv-13-a/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-arxiv-13-a/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:47	22004/22004	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-55f4%22	https://blondon.github.io/publication/bach-uai-13/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/bach-uai-13/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:48	18240/18240	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4740%22	https://blondon.github.io/publication/london-arxiv-13-b/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-arxiv-13-b/index.html	(from https://blondon.github.io/authors/ben-london/)
18:40:48	7833/7833	---M-Z	200	added ('OK')	application/xml	etag:W/%225eee6be5-1e99%22	https://blondon.github.io/authors/lise-getoor/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/lise-getoor/index.xml	(from https://blondon.github.io/authors/lise-getoor/)
18:41:01	18520/18520	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4858%22	https://blondon.github.io/publication/london-nips-13-ws/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-nips-13-ws/index.html	(from https://blondon.github.io/authors/ben-london/)
18:41:01	18385/18385	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-47d1%22	https://blondon.github.io/publication/london-nips-12-asalsn/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-nips-12-asalsn/index.html	(from https://blondon.github.io/authors/ben-london/)
18:41:01	18319/18319	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-478f%22	https://blondon.github.io/publication/namata-mlg-12-wkshp/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/namata-mlg-12-wkshp/index.html	(from https://blondon.github.io/authors/ben-london/)
18:41:01	18184/18184	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4708%22	https://blondon.github.io/publication/london-nips-12-spectral/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/london-nips-12-spectral/index.html	(from https://blondon.github.io/authors/ben-london/)
18:41:01	18310/18310	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-4786%22	https://blondon.github.io/publication/pujara-icmlws-11/	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/pujara-icmlws-11/index.html	(from https://blondon.github.io/authors/ben-london/)
18:41:01	13460/13460	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-3494%22	https://blondon.github.io/tags/pac-bayes/	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/pac-bayes/index.html	(from https://blondon.github.io/publication/london-jmlr-16/)
18:41:01	10618/10618	---M-Z	200	added ('OK')	application/xml	etag:W/%225eee6be5-297a%22	https://blondon.github.io/publication/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/publication/index.xml	(from https://blondon.github.io/publication/)
18:41:02	13544/13544	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-34e8%22	https://blondon.github.io/tags/generalization-bounds/	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/generalization-bounds/index.html	(from https://blondon.github.io/publication/london-jmlr-16/)
18:41:02	14218/14218	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225eee6be5-378a%22	https://blondon.github.io/papers/london-causalml18.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-causalml18.pdf	(from https://blondon.github.io/publication/)
